selector,episode_id,scene_id,goal,failure_reason,taxonomy,evidence,metric_steps,metric_sr,metric_spl,logged_step_rows,has_final_decision,has_raw_found,final_decision_steps,zero_frontier_steps,invalid_coord_steps,last_logged_step,last_raw_model_output,last_frontier_count,last_selected_len,same_taxonomy_all_selectors
recent_k,1237,00869-MHPLjHsuG27,dishwasher,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,276,0,0.0,7,True,True,[276],1,1,276,found,0,35,True
recent_k,6989,00844-q5QZSEeHe5g,exercise bike,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,263,0,0.0,7,True,True,[263],1,1,263,found,0,35,True
recent_k,3693,00823-7MXmsvcQjpJ,guitar,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,496,0,0.0,13,True,True,[496],1,1,496,found,0,50,True
recent_k,5908,00873-bxsVRursffK,refrigerator,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,304,0,0.0,7,True,True,[304],1,1,304,found,0,35,True
recent_k,3983,00823-7MXmsvcQjpJ,guitar,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,353,0,0.0,12,True,True,[353],1,1,353,found,0,50,True
recent_k,666,00802-wcojb4TFT35,picture,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,209,0,0.0,6,True,True,[209],1,1,209,found,0,30,True
recent_k,4175,00800-TEEsavR23oF,pillow,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,678,0,0.0,10,False,False,[],0,0,571,"<coordinate>[7.09, -4.50]</coordinate>",5,50,True
recent_k,1054,00824-Dd4bFSTQ8gi,pillow,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,641,0,0.0,10,False,False,[],0,0,599,"<coordinate>[3.34, -2.94]</coordinate>",8,50,True
recent_k,810,00824-Dd4bFSTQ8gi,flower vase,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,617,0,0.0,10,False,False,[],0,0,538,"<coordinate>[7.04, -8.22]</coordinate>",5,50,True
recent_k,2188,00813-svBbv1Pavdk,flower vase,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,635,0,0.0,11,False,False,[],0,0,565,"<coordinate>[7.41, -6.86]</coordinate>",6,50,True
recent_k,4548,00876-mv2HUxq3B53,shower glass,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,611,0,0.0,8,False,False,[],0,0,485,"<coordinate>[8.92, -13.56]</coordinate>",9,40,True
recent_k,435,00814-p53SfW6mjZe,carpet,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,706,0,0.0,10,False,False,[],0,0,589,"<coordinate>[-7.02, -14.15]</coordinate>",4,50,True
recent_k,1031,00835-q3zU7Yy5E5s,pillow,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,480,0,0.0,13,True,True,[480],1,1,480,found,0,50,True
recent_k,126,00823-7MXmsvcQjpJ,picture,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,625,1,0.05345630784524904,26,True,True,[333],1,1,573,"<coordinate>[5.06, -3.55]</coordinate>",9,50,True
